Year,Country,Region,Wave,LIS Dataset,Gross / net,"Primary
income (a)","Gross
income (b)","Disposable
income (c)",Absolute (a-c),"Relative 
(a-c)/a*100","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual,"Residual / total 
redistribution","Ratio other transfers / 
total transfers",,Year,Country,Region,Wave,LIS Dataset,Gross / net,"Relative fiscal
redistribution","Total
redistribution","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual
1997,AT,EU15,Wave IV,Austria 1997,Net,0.427,0.266,0.266,0.161,38%,0.121,0,0.025,0.001,0.011,0.002,0,0.001,,0,-0.10%,0.40%,,1997,AT,EU15,Wave IV,Austria 1997,Net,38%,100%,75%,0%,16%,1%,7%,1%,0%,0%,,0%
1995,AT,EU15,Wave IV,Austria 1995,Mix,,,0.277,,,,,,,,,,,,,,,,1995,AT,EU15,Wave IV,Austria 1995,Mix,,,,,,,,,,,,
1994,AT,EU15,Wave IV,Austria 1994,Net,0.439,0.28,0.28,0.158,36%,0.12,0,0.026,0.001,0.007,0.001,0.001,0,,0,0.10%,0.20%,,1994,AT,EU15,Wave IV,Austria 1994,Net,36%,100%,76%,0%,17%,1%,5%,1%,1%,0%,,0%
1987,AT,EU15,Wave II,Austria 1987,Mix,,,0.227,,,,,,,,,,,,,,,,1987,AT,EU15,Wave II,Austria 1987,Mix,,,,,,,,,,,,
2000,BE,EU15,Wave V,Belgium 2000,Net,0.474,0.279,0.279,0.195,41%,0.151,0.003,0.014,0.001,0.025,0,0.002,0.001,,-0.002,-1.00%,0.30%,,2000,BE,EU15,Wave V,Belgium 2000,Net,41%,100%,78%,2%,7%,0%,13%,0%,1%,0%,,-1%
1997,BE,EU15,Wave IV,Belgium 1997,Gross,0.482,0.324,0.25,0.231,48%,0.107,,0.014,0,0.021,0,0.002,0.013,0.073,0,0.00%,5.60%,,1997,BE,EU15,Wave IV,Belgium 1997,Gross,48%,100%,46%,,6%,0%,9%,0%,1%,6%,32%,0%
1995,BE,EU15,Wave IV,Belgium 1995,Net,0.467,0.266,0.266,0.2,43%,0.144,0,0.022,0,0.03,0,0.002,0.001,,0.001,0.60%,0.30%,,1995,BE,EU15,Wave IV,Belgium 1995,Net,43%,100%,72%,0%,11%,0%,15%,0%,1%,0%,,1%
1992,BE,EU15,Wave III,Belgium 1992,Gross,0.45,0.285,0.222,0.227,51%,0.12,,0.019,0.001,0.024,,,0.001,0.063,0,0.00%,0.50%,,1992,BE,EU15,Wave III,Belgium 1992,Gross,51%,100%,53%,,8%,0%,10%,,,1%,28%,0%
1988,BE,EU15,Wave III,Belgium 1988,Net,0.421,0.232,0.232,0.189,45%,0.115,0.013,0.025,,0.032,,,0.004,,0,-0.10%,2.00%,,1988,BE,EU15,Wave III,Belgium 1988,Net,45%,100%,61%,7%,13%,,17%,,,2%,,0%
1985,BE,EU15,Wave II,Belgium 1985,Net,0.414,0.227,0.227,0.188,45%,0.113,0.013,0.028,,0.03,,,0.005,,-0.001,-0.30%,2.80%,,1985,BE,EU15,Wave II,Belgium 1985,Net,45%,100%,60%,7%,15%,,16%,,,3%,,0%
2013,BR,BRICS,Wave IX,Brazil 2013,Gross,0.542,0.468,0.45,0.093,17%,0.056,,,,0.003,,0.014,0.002,0.018,-0.001,-0.60%,2.10%,,2013,BR,BRICS,Wave IX,Brazil 2013,Gross,17%,100%,61%,,,,4%,,15%,2%,20%,-1%
2011,BR,BRICS,Wave VIII,Brazil 2011,Gross,0.544,0.476,0.46,0.084,15%,0.053,,,,0.003,,0.011,0.002,0.016,0,-0.10%,2.30%,,2011,BR,BRICS,Wave VIII,Brazil 2011,Gross,15%,100%,63%,,,,3%,,13%,2%,19%,0%
2009,BR,BRICS,Wave VII,Brazil 2009,Gross,0.546,0.483,0.467,0.079,14%,0.046,,,,0.003,,0.012,0.002,0.015,0,-0.40%,2.70%,,2009,BR,BRICS,Wave VII,Brazil 2009,Gross,14%,100%,59%,,,,4%,,15%,3%,20%,0%
2006,BR,BRICS,Wave VI,Brazil 2006,Gross,0.558,0.5,0.487,0.071,13%,0.044,,,,0.003,,0.008,0.003,0.014,0,-0.50%,4.70%,,2006,BR,BRICS,Wave VI,Brazil 2006,Gross,13%,100%,62%,,,,4%,,11%,5%,19%,-1%
2010,CA,Anglo-Saxon,Wave VIII,Canada 2010,Gross,0.481,0.356,0.317,0.164,34%,0.079,,0.002,,,,0.011,0.034,0.039,0,0.00%,20.50%,,2010,CA,Anglo-Saxon,Wave VIII,Canada 2010,Gross,34%,100%,48%,,1%,,,,7%,21%,24%,0%
2007,CA,Anglo-Saxon,Wave VII,Canada 2007,Gross,0.471,0.355,0.315,0.156,33%,0.054,,0.013,,,,0.009,0.04,0.04,0,0.00%,25.60%,,2007,CA,Anglo-Saxon,Wave VII,Canada 2007,Gross,33%,100%,34%,,9%,,,,6%,26%,26%,0%
2004,CA,Anglo-Saxon,Wave VI,Canada 2004,Gross,0.475,0.358,0.318,0.156,33%,0.054,,,,,,0.011,0.052,0.039,0,0.10%,33.30%,,2004,CA,Anglo-Saxon,Wave VI,Canada 2004,Gross,33%,100%,35%,,,,,,7%,33%,25%,0%
2000,CA,Anglo-Saxon,Wave V,Canada 2000,Gross,0.465,0.356,0.315,0.151,32%,0.048,,,,,,0.013,0.048,0.041,0,0.10%,32.10%,,2000,CA,Anglo-Saxon,Wave V,Canada 2000,Gross,32%,100%,32%,,,,,,9%,32%,27%,0%
1998,CA,Anglo-Saxon,Wave V,Canada 1998,Gross,0.475,0.354,0.311,0.164,35%,0.046,,,,,,0.02,0.054,0.043,0,0.20%,33.20%,,1998,CA,Anglo-Saxon,Wave V,Canada 1998,Gross,35%,100%,28%,,,,,,12%,33%,26%,0%
1997,CA,Anglo-Saxon,Wave IV,Canada 1997,Gross,0.45,0.336,0.291,0.158,35%,0.043,,,,,,0.016,0.054,0.045,0,0.20%,33.80%,,1997,CA,Anglo-Saxon,Wave IV,Canada 1997,Gross,35%,100%,27%,,,,,,10%,34%,28%,0%
1994,CA,Anglo-Saxon,Wave IV,Canada 1994,Gross,0.448,0.329,0.284,0.164,37%,0.039,,,,,,0.021,0.058,0.045,0,0.20%,35.10%,,1994,CA,Anglo-Saxon,Wave IV,Canada 1994,Gross,37%,100%,24%,,,,,,13%,35%,28%,0%
1991,CA,Anglo-Saxon,Wave III,Canada 1991,Gross,0.426,0.325,0.281,0.145,34%,0.052,,0.004,,0.017,,,0.029,0.043,0,-0.10%,19.90%,,1991,CA,Anglo-Saxon,Wave III,Canada 1991,Gross,34%,100%,36%,,3%,,12%,,,20%,30%,0%
1987,CA,Anglo-Saxon,Wave II,Canada 1987,Gross,0.407,0.32,0.283,0.124,30%,0.048,,0.004,,0.012,,,0.022,0.037,0,-0.10%,17.90%,,1987,CA,Anglo-Saxon,Wave II,Canada 1987,Gross,30%,100%,39%,,3%,,10%,,,18%,30%,0%
1981,CA,Anglo-Saxon,Wave I,Canada 1981,Gross,0.381,0.315,0.284,0.097,26%,0.034,,0.005,,0.009,,,0.018,0.031,0,0.00%,18.60%,,1981,CA,Anglo-Saxon,Wave I,Canada 1981,Gross,26%,100%,35%,,5%,,9%,,,19%,32%,0%
1975,CA,Anglo-Saxon,Historical wave,Canada 1975,Gross,0.385,0.32,0.289,0.096,25%,0.031,,0.01,,0.01,,,0.014,0.03,0,0.00%,15.00%,,1975,CA,Anglo-Saxon,Historical wave,Canada 1975,Gross,25%,100%,32%,,10%,,11%,,,15%,32%,0%
1971,CA,Anglo-Saxon,Historical wave,Canada 1971,Gross,0.404,0.349,0.316,0.087,22%,0.028,,0.007,,0.003,,,0.016,0.033,0,0.00%,18.60%,,1971,CA,Anglo-Saxon,Historical wave,Canada 1971,Gross,22%,100%,32%,,8%,,4%,,,19%,38%,0%
2002,CN,BRICS,Wave V,China 2002,Mix,0.561,0.557,0.505,0.056,10%,0.001,,,,0,,0,0.003,0.052,0,0.00%,4.50%,,2002,CN,BRICS,Wave V,China 2002,Mix,10%,100%,2%,,,,-1%,,0%,5%,94%,0%
2013,CO,Latin America,Wave IX,Colombia 2013,Mix,0.517,0.509,0.491,0.026,5%,0.001,,,,,,,0.007,0.018,0,0.00%,28.00%,,2013,CO,Latin America,Wave IX,Colombia 2013,Mix,5%,100%,3%,,,,,,,28%,69%,0%
2010,CO,Latin America,Wave VIII,Colombia 2010,Mix,0.497,0.499,0.482,0.014,3%,-0.002,,,,,,,-0.001,0.017,0,0.00%,-5.50%,,2010,CO,Latin America,Wave VIII,Colombia 2010,Mix,3%,100%,-12%,,,,,,,-6%,117%,0%
2007,CO,Latin America,Wave VII,Colombia 2007,Mix,0.533,0.536,0.523,0.01,2%,-0.002,,,,,,,-0.001,0.013,0,0.00%,-6.60%,,2007,CO,Latin America,Wave VII,Colombia 2007,Mix,2%,100%,-20%,,,,,,,-7%,127%,0%
2004,CO,Latin America,Wave VI,Colombia 2004,Gross,0.506,0.508,0.506,0,0%,-0.003,,,,,,,0,0.003,0,0.00%,0.00%,,2004,CO,Latin America,Wave VI,Colombia 2004,Gross,0%,100%,-3019%,,,,,,,0%,3119%,0%
2013,CZ,CEE,Wave IX,Czech Republic 2013,Gross,0.457,0.293,0.258,0.199,44%,0.138,,0.01,,0.002,0.004,0.005,0.006,0.035,0,-0.10%,2.80%,,2013,CZ,CEE,Wave IX,Czech Republic 2013,Gross,44%,100%,69%,,5%,,1%,2%,2%,3%,18%,0%
2010,CZ,CEE,Wave VIII,Czech Republic 2010,Gross,0.447,0.291,0.256,0.191,43%,0.132,,0.013,,0.003,0.002,0.001,0.007,0.034,0,0.00%,3.50%,,2010,CZ,CEE,Wave VIII,Czech Republic 2010,Gross,43%,100%,69%,,7%,,1%,1%,1%,4%,18%,0%
2007,CZ,CEE,Wave VII,Czech Republic 2007,Gross,0.446,0.293,0.251,0.195,44%,0.124,,0.018,,0.002,0.001,0.002,0.007,0.041,0,0.00%,3.50%,,2007,CZ,CEE,Wave VII,Czech Republic 2007,Gross,44%,100%,63%,,9%,,1%,1%,1%,4%,21%,0%
2004,CZ,CEE,Wave VI,Czech Republic 2004,Gross,0.466,0.304,0.266,0.2,43%,0.124,,0.018,,0.004,0.002,0.007,0.006,0.039,0,0.00%,3.20%,,2004,CZ,CEE,Wave VI,Czech Republic 2004,Gross,43%,100%,62%,,9%,,2%,1%,3%,3%,19%,0%
2002,CZ,CEE,Wave V,Czech Republic 2002,Gross,0.464,0.296,0.255,0.208,45%,0.126,,0.02,,0.004,0.002,0.011,0.005,0.041,0,0.00%,2.40%,,2002,CZ,CEE,Wave V,Czech Republic 2002,Gross,45%,100%,60%,,9%,,2%,1%,5%,2%,19%,0%
1996,CZ,CEE,Wave IV,Czech Republic 1996,Gross,0.431,0.293,0.256,0.175,41%,0.107,,0.009,,0.002,0.001,0.005,0.013,0.037,0,0.10%,7.70%,,1996,CZ,CEE,Wave IV,Czech Republic 1996,Gross,41%,100%,61%,,5%,,1%,0%,3%,8%,21%,0%
1992,CZ,CEE,Wave III,Czech Republic 1992,Gross,0.4,0.232,0.205,0.195,49%,0.123,,0.011,,0.002,,,0.032,0.027,0,-0.20%,16.60%,,1992,CZ,CEE,Wave III,Czech Republic 1992,Gross,49%,100%,63%,,6%,,1%,,,17%,14%,0%
2013,DK,EU15,Wave IX,Denmark 2013,Gross,0.476,0.291,0.249,0.226,48%,0.131,,0.006,0.01,0.009,0.008,0.019,0.004,0.042,-0.002,-0.70%,2.00%,,2013,DK,EU15,Wave IX,Denmark 2013,Gross,48%,100%,58%,,2%,5%,4%,4%,8%,2%,18%,-1%
2010,DK,EU15,Wave VIII,Denmark 2010,Gross,0.465,0.289,0.248,0.217,47%,0.125,,0.006,0.008,0.01,0.008,0.015,0.005,0.041,-0.001,-0.60%,2.40%,,2010,DK,EU15,Wave VIII,Denmark 2010,Gross,47%,100%,58%,,3%,4%,5%,4%,7%,2%,19%,-1%
2007,DK,EU15,Wave VII,Denmark 2007,Gross,0.438,0.285,0.238,0.2,46%,0.111,,0.006,0.006,0.006,0.008,0.013,0.004,0.047,-0.002,-1.20%,2.00%,,2007,DK,EU15,Wave VII,Denmark 2007,Gross,46%,100%,56%,,3%,3%,3%,4%,7%,2%,24%,-1%
2004,DK,EU15,Wave VI,Denmark 2004,Gross,0.447,0.271,0.228,0.219,49%,0.113,0.006,0.01,0.006,0.014,0.009,0.016,0.002,0.042,0,-0.20%,0.90%,,2004,DK,EU15,Wave VI,Denmark 2004,Gross,49%,100%,52%,3%,4%,3%,6%,4%,7%,1%,19%,0%
2000,DK,EU15,Wave V,Denmark 2000,Gross,0.438,0.272,0.225,0.213,49%,0.108,0.006,0.009,0.005,0.014,0.008,0.016,0,0.047,0,-0.10%,0.20%,,2000,DK,EU15,Wave V,Denmark 2000,Gross,49%,100%,51%,3%,4%,3%,6%,4%,7%,0%,22%,0%
1995,DK,EU15,Wave IV,Denmark 1995,Gross,0.444,0.261,0.218,0.227,51%,0.111,0.006,0.011,0.004,0.027,0.009,0.016,0,0.043,-0.001,-0.30%,0.20%,,1995,DK,EU15,Wave IV,Denmark 1995,Gross,51%,100%,49%,3%,5%,2%,12%,4%,7%,0%,19%,0%
1992,DK,EU15,Wave III,Denmark 1992,Gross,0.447,0.286,0.238,0.21,47%,0.007,0.006,0.006,,0.026,,,0.118,0.049,-0.002,-0.90%,56.10%,,1992,DK,EU15,Wave III,Denmark 1992,Gross,47%,100%,3%,3%,3%,,12%,,,56%,23%,-1%
1987,DK,EU15,Wave II,Denmark 1987,Gross,0.416,0.283,0.255,0.161,39%,0.005,0.006,0.005,,0.017,,,0.1,0.029,0,-0.20%,61.90%,,1987,DK,EU15,Wave II,Denmark 1987,Gross,39%,100%,3%,4%,3%,,11%,,,62%,18%,0%
2007,DO,Latin America,Wave VII,Dominican Rep. 2007,Gross,0.498,0.494,0.49,0.008,2%,0.002,,,,,,,0.002,0.004,0,0.00%,26.40%,,2007,DO,Latin America,Wave VII,Dominican Rep. 2007,Gross,2%,100%,28%,,,,,,,26%,45%,0%
2012,EG,Middle East,Wave IX,Egypt 2012,Net,0.492,0.464,0.464,0.028,6%,0.025,,,,,,,0.003,,0,-0.30%,11.10%,,2012,EG,Middle East,Wave IX,Egypt 2012,Net,6%,100%,89%,,,,,,,11%,,0%
2013,EE,CEE,Wave IX,Estonia 2013,Gross,0.54,0.429,0.352,0.188,35%,0.1,0.001,0.007,0,0.002,,0.001,0,0.077,0,-0.10%,0.00%,,2013,EE,CEE,Wave IX,Estonia 2013,Gross,35%,100%,53%,0%,4%,0%,1%,,0%,0%,41%,0%
2010,EE,CEE,Wave VIII,Estonia 2010,Gross,0.516,0.394,0.319,0.197,38%,0.106,0,0.01,0.001,0.003,,0.002,0,0.075,0,0.00%,0.10%,,2010,EE,CEE,Wave VIII,Estonia 2010,Gross,38%,100%,54%,0%,5%,0%,2%,,1%,0%,38%,0%
2007,EE,CEE,Wave VII,Estonia 2007,Gross,0.493,0.4,0.312,0.181,37%,0.084,0,0.008,0,0,,0,0,0.088,0,-0.10%,0.10%,,2007,EE,CEE,Wave VII,Estonia 2007,Gross,37%,100%,47%,0%,4%,0%,0%,,0%,0%,48%,0%
2004,EE,CEE,Wave VI,Estonia 2004,Gross,0.496,0.379,0.347,0.149,30%,0.098,0,0.015,0,0.001,,0.002,0.001,0.032,0,0.00%,0.50%,,2004,EE,CEE,Wave VI,Estonia 2004,Gross,30%,100%,66%,0%,10%,0%,0%,,1%,1%,22%,0%
2000,EE,CEE,Wave V,Estonia 2000,Mix,0.499,0.362,0.361,0.138,28%,,0.001,,0.001,0.002,,,0.133,0.001,0,0.00%,96.20%,,2000,EE,CEE,Wave V,Estonia 2000,Mix,28%,100%,,0%,,1%,2%,,,96%,1%,0%
2013,FI,EU15,Wave IX,Finland 2013,Gross,0.487,0.347,0.259,0.228,47%,0.124,0,0.009,0.004,0.021,0.007,0.004,-0.009,0.088,-0.022,-9.40%,-3.80%,,2013,FI,EU15,Wave IX,Finland 2013,Gross,47%,100%,54%,0%,4%,2%,9%,3%,2%,-4%,39%,-9%
2010,FI,EU15,Wave VIII,Finland 2010,Gross,0.478,0.337,0.261,0.217,45%,0.117,0,0.01,0.005,0.021,0.007,0.004,-0.005,0.076,-0.018,-8.20%,-2.50%,,2010,FI,EU15,Wave VIII,Finland 2010,Gross,45%,100%,54%,0%,5%,2%,10%,3%,2%,-3%,35%,-8%
2007,FI,EU15,Wave VII,Finland 2007,Gross,0.469,0.35,0.264,0.205,44%,0.104,0,0.01,0.004,0.022,0.007,0.004,-0.009,0.086,-0.023,-11.00%,-4.60%,,2007,FI,EU15,Wave VII,Finland 2007,Gross,44%,100%,51%,0%,5%,2%,11%,3%,2%,-5%,42%,-11%
2004,FI,EU15,Wave VI,Finland 2004,Gross,0.472,0.349,0.257,0.214,45%,0.109,0,0.012,0.005,0.02,0.007,0.004,-0.01,0.092,-0.025,-11.50%,-4.80%,,2004,FI,EU15,Wave VI,Finland 2004,Gross,45%,100%,51%,0%,6%,2%,10%,3%,2%,-5%,43%,-12%
2000,FI,EU15,Wave V,Finland 2000,Gross,0.468,0.325,0.252,0.216,46%,0.107,0,0.014,0.005,0.022,0.008,0.004,-0.004,0.074,-0.014,-6.50%,-1.70%,,2000,FI,EU15,Wave V,Finland 2000,Gross,46%,100%,49%,0%,7%,2%,10%,4%,2%,-2%,34%,-7%
1995,FI,EU15,Wave IV,Finland 1995,Gross,0.475,0.271,0.216,0.259,54%,0.114,,0.02,0.005,0.04,0.009,0.005,0.013,0.055,-0.001,-0.40%,4.90%,,1995,FI,EU15,Wave IV,Finland 1995,Gross,54%,100%,44%,,8%,2%,16%,3%,2%,5%,21%,0%
1991,FI,EU15,Wave III,Finland 1991,Gross,0.406,0.258,0.209,0.197,49%,0.1,0.002,0.018,,0.008,,,0.02,0.049,0,-0.20%,10.20%,,1991,FI,EU15,Wave III,Finland 1991,Gross,49%,100%,51%,1%,9%,,4%,,,10%,25%,0%
1987,FI,EU15,Wave II,Finland 1987,Gross,0.388,0.259,0.207,0.181,47%,0.09,0.002,0.012,,0.004,,,0.021,0.053,0,-0.20%,11.80%,,1987,FI,EU15,Wave II,Finland 1987,Gross,47%,100%,50%,1%,7%,,2%,,,12%,29%,0%
2010,FR,EU15,Wave VIII,France 2010,Mix,0.494,0.307,0.289,0.204,41%,0.132,,0.018,0,0.015,0.013,,0.009,0.018,-0.001,-0.40%,4.20%,,2010,FR,EU15,Wave VIII,France 2010,Mix,41%,100%,65%,,9%,0%,7%,6%,,4%,9%,0%
2005,FR,EU15,Wave VI,France 2005,Mix,0.478,0.295,0.28,0.198,41%,0.123,0.003,0.021,0.002,0.015,0.014,0.005,0.001,0.015,-0.001,-0.40%,0.30%,,2005,FR,EU15,Wave VI,France 2005,Mix,41%,100%,62%,2%,10%,1%,7%,7%,3%,0%,8%,0%
2000,FR,EU15,Wave V,France 2000,Mix,0.483,0.3,0.278,0.205,42%,0.121,0.003,0.024,0.002,0.013,0.015,0.004,0.001,0.022,-0.001,-0.30%,0.40%,,2000,FR,EU15,Wave V,France 2000,Mix,42%,100%,59%,1%,12%,1%,6%,7%,2%,0%,11%,0%
1994,FR,EU15,Wave IV,France 1994,Mix,0.486,0.306,0.288,0.197,41%,0.122,0.003,0.02,0.004,0.013,0.013,0.003,0.001,0.018,-0.001,-0.30%,0.60%,,1994,FR,EU15,Wave IV,France 1994,Mix,41%,100%,62%,1%,10%,2%,7%,7%,2%,1%,9%,0%
1989,FR,EU15,Wave III,France 1989,Mix,0.478,0.309,0.287,0.191,40%,0.105,,0.024,,0.018,,,0.022,0.022,0,-0.10%,11.50%,,1989,FR,EU15,Wave III,France 1989,Mix,40%,100%,55%,,12%,,10%,,,11%,12%,0%
1984,FR,EU15,Wave II,France 1984,Mix,0.496,0.351,0.338,0.158,32%,0.093,,0.021,,0.015,,,0.016,0.013,0,-0.20%,10.20%,,1984,FR,EU15,Wave II,France 1984,Mix,32%,100%,59%,,13%,,10%,,,10%,8%,0%
1978,FR,EU15,Wave I,France 1978,Mix,0.611,0.553,0.312,0.299,49%,0.05,,0.004,0.001,0.002,,,0.001,0.241,0.001,0.40%,0.30%,,1978,FR,EU15,Wave I,France 1978,Mix,49%,100%,17%,,1%,0%,1%,,,0%,81%,0%
2013,GE,Europe - other,Wave IX,Georgia 2013,Net,0.481,0.394,0.394,0.086,18%,0.066,,0.015,0,,,,0.002,,0.003,3.90%,1.80%,,2013,GE,Europe - other,Wave IX,Georgia 2013,Net,18%,100%,77%,,17%,0%,,,,2%,,4%
2010,GE,Europe - other,Wave VIII,Georgia 2010,Net,0.526,0.437,0.437,0.089,17%,0.077,,0.015,0,,,,0.002,,-0.005,-5.20%,2.50%,,2010,GE,Europe - other,Wave VIII,Georgia 2010,Net,17%,100%,86%,,16%,0%,,,,2%,,-5%
2013,DE,EU15,Wave IX,Germany 2013,Gross,0.52,0.344,0.291,0.229,44%,0.139,,0.013,0.002,0.02,0.001,0.001,0,0.053,0,0.00%,0.00%,,2013,DE,EU15,Wave IX,Germany 2013,Gross,44%,100%,61%,,6%,1%,9%,1%,0%,0%,23%,0%
2010,DE,EU15,Wave VIII,Germany 2010,Gross,0.514,0.338,0.285,0.229,45%,0.139,,0.013,0.002,0.02,0.001,0.001,0,0.053,0,-0.10%,0.20%,,2010,DE,EU15,Wave VIII,Germany 2010,Gross,45%,100%,61%,,6%,1%,9%,1%,1%,0%,23%,0%
2007,DE,EU15,Wave VII,Germany 2007,Gross,0.512,0.343,0.289,0.223,44%,0.132,,0.012,0.001,0.019,0.002,0.002,0.001,0.054,0,0.00%,0.50%,,2007,DE,EU15,Wave VII,Germany 2007,Gross,44%,100%,59%,,5%,0%,9%,1%,1%,1%,24%,0%
2004,DE,EU15,Wave VI,Germany 2004,Gross,0.498,0.331,0.278,0.22,44%,0.127,,0.014,0.001,0.017,0.003,0.003,0.002,0.052,0,0.00%,0.80%,,2004,DE,EU15,Wave VI,Germany 2004,Gross,44%,100%,58%,,6%,1%,8%,1%,1%,1%,24%,0%
2000,DE,EU15,Wave V,Germany 2000,Gross,0.473,0.318,0.266,0.207,44%,0.122,,0.012,0.001,0.013,0.002,0.003,0.001,0.053,0,0.00%,0.60%,,2000,DE,EU15,Wave V,Germany 2000,Gross,44%,100%,59%,,6%,1%,6%,1%,1%,1%,25%,0%
1994,DE,EU15,Wave IV,Germany 1994,Gross,0.458,0.314,0.27,0.188,41%,0.113,,0.008,0.001,0.014,0.002,0.004,0.002,0.045,0,0.00%,0.80%,,1994,DE,EU15,Wave IV,Germany 1994,Gross,41%,100%,60%,,4%,1%,8%,1%,2%,1%,24%,0%
